test error,training error,validation error
0.996742671009772,0.9952898550724638,0.9804347826086957
0.996742671009772,0.9952898550724638,0.9804347826086957
0.996742671009772,0.9952898550724638,0.9793478260869565
0.996742671009772,0.9952898550724638,0.9793478260869565
0.996742671009772,0.9952898550724638,0.9793478260869565
0.996742671009772,0.9952898550724638,0.9793478260869565
0.996742671009772,0.9952898550724638,0.9793478260869565
0.996742671009772,0.9952898550724638,0.9793478260869565
0.996742671009772,0.9952898550724638,0.9793478260869565
0.996742671009772,0.9952898550724638,0.9793478260869565
0.996742671009772,0.9952898550724638,0.9793478260869565
0.996742671009772,0.9952898550724638,0.9782608695652174
0.996742671009772,0.9952898550724638,0.9782608695652174
0.996742671009772,0.9952898550724638,0.9782608695652174
0.996742671009772,0.9952898550724638,0.9771739130434782
0.996742671009772,0.9952898550724638,0.9771739130434782
0.996742671009772,0.9952898550724638,0.9771739130434782
0.996742671009772,0.9952898550724638,0.9771739130434782
0.996742671009772,0.9952898550724638,0.9760869565217392
0.996742671009772,0.9952898550724638,0.9760869565217392
0.996742671009772,0.9952898550724638,0.9760869565217392
0.996742671009772,0.9952898550724638,0.9739130434782609
0.996742671009772,0.9952898550724638,0.9739130434782609
0.996742671009772,0.994927536231884,0.9739130434782609
0.996742671009772,0.994927536231884,0.9739130434782609
0.996742671009772,0.994927536231884,0.9739130434782609
0.996742671009772,0.994927536231884,0.9739130434782609
0.996742671009772,0.994927536231884,0.9739130434782609
0.996742671009772,0.994927536231884,0.9739130434782609
0.996742671009772,0.994927536231884,0.9739130434782609
0.996742671009772,0.994927536231884,0.9739130434782609
0.996742671009772,0.994927536231884,0.9728260869565217
0.996742671009772,0.994927536231884,0.9728260869565217
0.996742671009772,0.994927536231884,0.9728260869565217
0.996742671009772,0.994927536231884,0.9728260869565217
0.996742671009772,0.994927536231884,0.9728260869565217
0.996742671009772,0.994927536231884,0.9728260869565217
0.996742671009772,0.994927536231884,0.9728260869565217
0.996742671009772,0.994927536231884,0.9728260869565217
